"Emails           ","Website          ","Phone Number         ","Facebook               ","Twitter               ","Instagram                ","Linkedin             ","Youtube              "
"","http://www.thanzir.com/great-ad-agency-websites/","","","","","",""
"","http://www.phonenumber4.co.uk/1412365/hammer-plc-phone-number/","","","","","",""
"","http://www.sas.org.uk/take-action/corporate-support/sas-250-club/","","","","","",""
"","http://www.57883.net/link/Alexa_154.html","","http://deletefacebook.com","","","http://hack-someones-instagram.com","http://unblockyoutube.com"
"","http://www.webnamelist.com/alexa/Alexa_154.html","","","","","",""
"","http://www.b2bmarketing.net/en/resources/news/agency-news-2013-b2b-agencies-league-table/en/contact-b2b-marketing","","https://www.facebook.com/marketingb2b","https://twitter.com/marketingb2b","https://www.linkedin.com/company/b2b-marketing","https://www.instagram.com/marketingb2b/",""
"","http://www.hartley-wintney-junior-fc.co.uk/club-sponsors.html","","","","","",""
"admin@elcot.com","http://www.businessmag.co.uk/tag/wallingford/","","","https://twitter.com/TheBusinessMag","https://www.linkedin.com/company/2554586","","https://www.youtube.com/user/TheBusinessMagazine"
"","http://www.apollo.io/companies/Miramar-Agency/54a135e069702d46f064d600/contact","","","","","",""
"","http://www.oxinst.cn/","","","","","",""
"","http://www.oxinst.com/","","https://www.facebook.com/oxinst","https://twitter.com/oxinst","https://www.linkedin.com/company/oxford-instruments","","https://www.youtube.com/user/oxinst"
"100@wirehive.com","http://100.wirehive.com/league-table","49","http://www.facebook.com/Wirehive100","https://twitter.com/Wirehive100","http://www.linkedin.com/company/2606427 ","",""
"","http://jumplead.com/awards/best-b2b-marketing-agency-blogs/contact","","https://www.facebook.com/JumpleadApp","https://twitter.com/JumpleadApp","http://www.linkedin.com/company/jumplead","",""
"","http://www.miltonpark.co.uk//contact-us","","https://www.facebook.com/MiltonParkOfficial/","https://twitter.com/MiltonPark","https://www.linkedin.com/company/milton-park-oxfordshire/","https://www.instagram.com/miltonparkuk/","https://www.youtube.com/channel/UCOu_b4x8i-z3mtKnhImyQfw"
"","http://info.exertis.co.uk/intel-enterprise/#contacts","1511931","","https://twitter.com/ExertisUK","https://www.linkedin.com/company/exertis-uk","","https://www.youtube.com/user/ExertisMicroP"
"","https://laimoon.com/contactus","","http://www.facebook.com/LaimoonCareers","https://www.twitter.com/LaimoonCareers","http://www.linkedin.com/company/2300367?trk=tyah","https://www.instagram.com/laimoononline/","https://www.youtube.com/channel/UCR3PG0xLNS-vn1B6NLK8LZw"
"admin@elcot.com","http://www.businessmag.co.uk/tag/wallingford/","","","https://twitter.com/TheBusinessMag","https://www.linkedin.com/company/2554586","","https://www.youtube.com/user/TheBusinessMagazine"
"sales@reveresurvival.com","https://www.reveresurvival.com/contact","","https://www.facebook.com/reveresurvivalinc/","https://twitter.com/RevereSurvival","https://www.linkedin.com/company/8000585/","",""
"sales@reveresurvival.com","https://reveresurvival.com/contact","","https://www.facebook.com/reveresurvivalinc/","https://twitter.com/RevereSurvival","https://www.linkedin.com/company/8000585/","",""
"info@jasonscradle.co.uk","http://www.jasonscradle.co.uk/","","https://www.facebook.com/jasonscradle","https://twitter.com/JasonsCradle","","","https://www.youtube.com/channel/UCnxpVEwJ23v0SGpBJ6h091g"
"","https://www.digitalmarketingcommunity.com/contact-us/","","https://www.facebook.com/digitalmarketingcommunitycom/","https://twitter.com/DigiCommunity","","","https://www.youtube.com/channel/UCOV38SIKeIG5U8XrBHF63YQ/featured"
"","http://www.miltonpark.co.uk//contact-us","","https://www.facebook.com/MiltonParkOfficial/","https://twitter.com/MiltonPark","https://www.linkedin.com/company/milton-park-oxfordshire/","https://www.instagram.com/miltonparkuk/","https://www.youtube.com/channel/UCOu_b4x8i-z3mtKnhImyQfw"
"a.coates@andor.com","https://andor.oxinst.com/contact","","https://www.facebook.com/oxinst","https://twitter.com/oxinst","https://www.linkedin.com/company/oxford-instruments","","https://www.youtube.com/user/oxinst"
"info@constor.co.uk","https://constor.co.uk/contact-us/","203004","","https://twitter.com/ConstorSolution","https://www.linkedin.com/company/constor-solutions-limited","",""
"","http://kleurplatenl.com/4237869400148996830/content-creation-for","","","","","",""
"","http://howberypark.com/tenant-directory/","","","","","",""
"","http://checkltd.co.uk/company/07866100/beautiful-south-creative-marketing-limited","","","","","",""
